Date,Close,High,Low,Open
2000-01-01,0.0798871964216232,0.0908565750901529,0.0753562216403035,0.090141400043132
2000-01-08,0.083821102976799,0.0871598095234644,0.0760713845993351,0.0801252660793777
2000-01-15,0.0853714346885681,0.0920488424934382,0.0810794630477127,0.0848943419976633
2000-01-22,0.0713023319840431,0.0881139925570703,0.0684407178662361,0.0881139925570703
2000-01-29,0.0773827061057091,0.0783368846036898,0.0667713720054844,0.0716594704044855
2000-02-05,0.0953875556588173,0.0987262631773819,0.0724946168037972,0.0777407605030367
2000-02-12,0.128534689545631,0.130204036264512,0.0946714539348096,0.09562563242805
2000-02-19,0.116730146110058,0.127222443930946,0.111603052018997,0.124480785417518
2000-02-26,0.112318240106106,0.123526614749256,0.109695622459403,0.116134025974781
2000-03-04,0.225113570690155,0.276622670842757,0.110648892313329,0.113034335114988
2000-03-11,0.190536126494408,0.286161770511968,0.175482638539595,0.204129039834036
2000-03-18,0.177778333425522,0.204367110354429,0.165973822677812,0.198047746802865
2000-03-25,0.161174550652504,0.183143536582251,0.134496027215341,0.177420292962184
2000-04-01,0.195663169026375,0.200313184635775,0.108741441723467,0.159713931767326
2000-04-08,0.131246998906136,0.210567340844715,0.124956934462409,0.199001831796344
2000-04-15,0.153812170028687,0.171219954428375,0.120187927537108,0.120187927537108
2000-04-22,0.170027703046799,0.183143522693984,0.138549899636621,0.144988317957249
2000-04-29,0.175750941038132,0.185767063977451,0.152619912053153,0.176466116207089
2000-05-06,0.15214279294014,0.177420257282205,0.149042181906971,0.171219935802622
2000-05-13,0.194828063249588,0.218675178703196,0.144035035971838,0.151427625524604
2000-05-20,0.201326921582222,0.224994548023187,0.175631883164515,0.192682543425258
2000-05-27,0.250988095998764,0.253729754966304,0.205798344969995,0.206751602398039
2000-06-03,0.241210043430328,0.268991998400651,0.225113569935407,0.25063004436046
2000-06-10,0.285684645175934,0.28616173787131,0.227021947392883,0.242283291799861
2000-06-17,0.28246596455574,0.335763497981469,0.277815032800545,0.284969541991639
2000-06-24,0.242522284388542,0.319070767465296,0.219390344947649,0.288069159754088
2000-07-01,0.222013846039772,0.251822281295034,0.201267345504018,0.244191610712383
2000-07-08,0.281630843877792,0.294984748581495,0.216052619631496,0.218198145458955
2000-07-15,0.26589235663414,0.28616175655979,0.250152990626549,0.285923674135223
2000-07-22,0.206036478281021,0.26803790682592,0.190774217236594,0.266130463621138
2000-07-29,0.243237480521202,0.248006524495076,0.206036448630446,0.217482921031083
2000-08-05,0.245860978960991,0.270899447048523,0.234175510875657,0.244906820926045
2000-08-12,0.293792337179184,0.297131057341075,0.24037578925377,0.248960644717941
2000-08-19,0.28616189956665,0.309770032498591,0.260407339521862,0.304523865639794
2000-08-26,0.303331404924393,0.314777861706613,0.284254249859082,0.287592970319557
2000-09-02,0.28043857216835,0.310724113318621,0.275192407084195,0.310486003565096
2000-09-09,0.270482838153839,0.283300127154295,0.258499765514047,0.276861722351093
2000-09-16,0.269469112157822,0.272807833108214,0.238468430432144,0.271138472633018
2000-09-23,0.312393426895142,0.32574735786157,0.275669482233004,0.277815007895332
2000-09-30,0.2611223757267,0.329086008940717,0.25730748979794,0.316685364559849
2000-10-07,0.248483598232269,0.270899448620817,0.222251961687542,0.254445837444542
2000-10-14,0.265653282403946,0.271853603311495,0.200551263754691,0.248483570225965
2000-10-21,0.233698427677155,0.269469107850469,0.214621297407945,0.267799774692466
2000-10-28,0.271853685379028,0.276622729891091,0.217005852818422,0.229883604778048
