Date,Close,High,Low,Open
2000-01-03,0.0893062651157379,0.0908565775005054,0.0841791631689656,0.0901414024345115
2000-01-04,0.0869217216968536,0.0879949412294973,0.0825097955657633,0.0877559446418384
2000-01-05,0.0840601101517677,0.085848504681317,0.0828678425836508,0.0844181547504402
2000-01-06,0.0785749703645706,0.084060116610586,0.0753562188342034,0.084060116610586
2000-01-07,0.0798872038722038,0.0807214201919863,0.0770255823625968,0.0782178501779153
2000-01-10,0.0825097784399986,0.0858484843454621,0.0786949010991852,0.0801252506912397
2000-01-11,0.0791710913181305,0.0829868906185691,0.0791710913181305,0.0820327122354827
2000-01-12,0.0771446451544762,0.079291092150959,0.0760714250675495,0.0791711298566071
2000-01-13,0.0803633779287338,0.0810794672960223,0.0760714060629925,0.0770255846721708
2000-01-14,0.0838211104273796,0.0871598172708116,0.0813175408220923,0.0815565442499146
2000-01-18,0.0873988494277,0.0877559799275932,0.0810794782780287,0.0848943579445826
2000-01-19,0.0865637138485909,0.08775598188778,0.0858485386005825,0.08775598188778
2000-01-20,0.086325615644455,0.0920488523239957,0.0856104404703842,0.0872797943055409
2000-01-21,0.0853714421391487,0.0864446619953872,0.0832249956040437,0.0860866172992559
2000-01-24,0.0815565586090088,0.0881140112091999,0.0810794659013126,0.0881140112091999
2000-01-25,0.0808404535055161,0.0827488104803367,0.0782178425414315,0.0819136731873659
2000-01-26,0.0775017514824867,0.0829869050881037,0.0760714013016823,0.0808404587622035
2000-01-27,0.0734478980302811,0.0780979088648546,0.0705862757531186,0.0780979088648546
2000-01-28,0.0713023096323013,0.0729716624712508,0.0684406964115485,0.0724945768367288
2000-01-31,0.0707062184810638,0.073209788473893,0.0667713772182132,0.0716594759988199
2000-02-01,0.0723746716976166,0.072971720002171,0.0682017468374339,0.0708252798364455
2000-02-02,0.0744020417332649,0.0758333128547153,0.072374643593721,0.0727326882264252
2000-02-03,0.0755943581461906,0.0783369330871355,0.0751172651906096,0.0767866197735895
2000-02-04,0.0773826912045479,0.0779788249458158,0.0758333002035067,0.0779788249458158
2000-02-07,0.0726136267185211,0.0777407269973194,0.0724945855591307,0.0777407269973194
2000-02-08,0.0760714113712311,0.0786949439078219,0.0724946212136953,0.0744020575104008
2000-02-09,0.077978827059269,0.080244314090281,0.0778597858832075,0.0789330053993698
2000-02-10,0.093956284224987,0.0953875486348563,0.0827488156875887,0.0827488156875887
2000-02-11,0.0953875556588173,0.0987262631773819,0.0884720582002955,0.0986063009119261
2000-02-14,0.110648922622204,0.110648922622204,0.0946714790683203,0.0956256578148773
2000-02-15,0.106356881558895,0.111006895779411,0.101825915311015,0.110887854629399
2000-02-16,0.111245006322861,0.114941764404921,0.106356908561308,0.10754917611795
2000-02-17,0.115179888904095,0.11589597835653,0.109456651855374,0.111126005798213
2000-02-18,0.128534659743309,0.130204006075132,0.112676265303267,0.113510481353278
2000-02-22,0.12495693564415,0.126149203001603,0.120187879859585,0.124480771002764
2000-02-23,0.125673055648804,0.126984364489376,0.121976310919665,0.123526616371503
2000-02-24,0.124480783939362,0.127222442420233,0.119233720859373,0.126388226334118
2000-02-25,0.116730190813541,0.12459987430894,0.111603094758986,0.12459987430894
2000-02-28,0.115895971655846,0.117326322013555,0.113987621143537,0.116134054089652
2000-02-29,0.122095376253128,0.123526640798345,0.115179878649873,0.115179878649873
2000-03-01,0.118518628180027,0.122095419460607,0.116611184461792,0.122095419460607
2000-03-02,0.110529839992523,0.11947273430684,0.110172716423942,0.11947273430684
2000-03-03,0.112318240106106,0.113510500918746,0.109695622459403,0.110648886663916
2000-03-06,0.111603073775768,0.1216191952075,0.110648895265124,0.11303433813042
2000-03-07,0.158939197659493,0.166450825642506,0.136880491982557,0.143080811487789
2000-03-08,0.160250514745712,0.161681778688809,0.14737369677142,0.158849475031901
2000-03-09,0.19134096801281,0.206036399453395,0.16168179854319,0.162157976899347
2000-03-10,0.225113585591316,0.27662268915351,0.199836119673081,0.201267384084292
2000-03-13,0.284731358289719,0.286161708350953,0.202220638553061,0.204128995492445
2000-03-14,0.210090309381485,0.283181042927293,0.206036427296305,0.283181042927293
2000-03-15,0.201505437493324,0.230956748624187,0.194589942000927,0.225143762188105
2000-03-16,0.179655522108078,0.215098372070281,0.176705077178042,0.207943865484056
2000-03-17,0.190536096692085,0.204129007905606,0.175482611091833,0.17551283533035
2000-03-20,0.19041708111763,0.204367117806854,0.1843357997666,0.198047754024849
2000-03-21,0.18099707365036,0.192443532137005,0.165973811799403,0.190774185303448
2000-03-22,0.18230926990509,0.187912542884107,0.179327686643817,0.182428311090825
2000-03-23,0.185528054833412,0.195544177835567,0.180281917722958,0.180639955603138
