1999-01-22,0.0401,0.0448,0.0356,0.0376
1999-01-25,0.0405,0.042,0.0376,0.0415
1999-01-26,0.042,0.0428,0.0377,0.0383
1999-01-27,0.0385,0.0394,0.0363,0.0382
1999-01-28,0.0382,0.0385,0.0379,0.0381
1999-01-29,0.0381,0.0382,0.0363,0.0363
1999-02-01,0.0363,0.0373,0.0363,0.037
1999-02-02,0.0363,0.0372,0.033,0.0341
1999-02-03,0.0337,0.0354,0.0335,0.0349
1999-02-04,0.0354,0.0378,0.0349,0.0368
1999-02-05,0.0373,0.0381,0.0363,0.0378
1999-02-08,0.0381,0.0381,0.0365,0.0365
1999-02-09,0.0373,0.0375,0.0346,0.0351
1999-02-10,0.0351,0.036,0.0341,0.0347
1999-02-11,0.0348,0.0391,0.0348,0.0377
1999-02-12,0.0382,0.0401,0.0382,0.0399
1999-02-16,0.0406,0.0423,0.036,0.0401
1999-02-17,0.0392,0.0397,0.0373,0.038
1999-02-18,0.0392,0.0397,0.0375,0.0386
1999-02-19,0.0382,0.0406,0.0377,0.0399
1999-02-22,0.0406,0.0411,0.0379,0.0401
1999-02-23,0.041,0.0428,0.0387,0.042
1999-02-24,0.0482,0.0502,0.0443,0.0454
1999-02-25,0.0472,0.0487,0.0432,0.0439
1999-02-26,0.0444,0.0458,0.0415,0.0419
1999-03-01,0.043,0.0439,0.0401,0.0421
1999-03-02,0.0421,0.0423,0.0411,0.0418
1999-03-03,0.042,0.042,0.0387,0.0389
1999-03-04,0.0409,0.0411,0.0377,0.0381
1999-03-05,0.0384,0.0403,0.0384,0.0402
